DateTime	RunTime	ID	Tag	Y	Alg	NumInstances	FeatureNum	CVfold	CV_rep	MSE_val	MSE_val_sd	MSE_val_se	EVS_val	EVS_val_sd	EVS_val_se	r2_val	r2_val_sd	r2_val_se	PCC_val	PCC_val_sd	PCC_val_se	MSE_test	MSE_test_sd	MSE_test_se	EVS_test	EVS_test_sd	EVS_test_se	r2_test	r2_test_sd	r2_test_se	PCC_test	PCC_test_sd	PCC_test_se
2020-06-19 14:34:02	49.94012689590454	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	10.457513705936924	0.0	0.0	0.8337373291757304	0.0	0.0	0.8323647094837762	0.0	0.0	0.9135040326465875	0.0	0.0	7.91840306122449	0.0	0.0	0.8297789944887741	0.0	0.0	0.8296883213770392	0.0	0.0	0.924645223235637	0.0	0.0
2020-06-24 15:56:37	9.732297897338867	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	12.443260427556982	0.0	0.0	0.8021149166835395	0.0	0.0	0.8005329339842676	0.0	0.0	0.8976737824207762	0.0	0.0	5.59360403980849	0.0	0.0	0.8797181327929436	0.0	0.0	0.8796908813297208	0.0	0.0	0.9413583988417027	0.0	0.0
2020-06-24 16:18:01	11.516207933425903	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	12.443260427556982	0.0	0.0	0.8021149166835395	0.0	0.0	0.8005329339842676	0.0	0.0	0.8976737824207762	0.0	0.0	5.59360403980849	0.0	0.0	0.8797181327929436	0.0	0.0	0.8796908813297208	0.0	0.0	0.9413583988417027	0.0	0.0
2020-06-24 16:19:42	8.672625303268433	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	12.443260427556982	0.0	0.0	0.8021149166835395	0.0	0.0	0.8005329339842676	0.0	0.0	0.8976737824207762	0.0	0.0	5.59360403980849	0.0	0.0	0.8797181327929436	0.0	0.0	0.8796908813297208	0.0	0.0	0.9413583988417027	0.0	0.0
2020-06-25 15:53:01	11.920723915100098	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	12.443260427556982	0.0	0.0	0.8021149166835395	0.0	0.0	0.8005329339842676	0.0	0.0	0.8976737824207762	0.0	0.0	5.59360403980849	0.0	0.0	0.8797181327929436	0.0	0.0	0.8796908813297208	0.0	0.0	0.9413583988417027	0.0	0.0
2020-06-26 11:00:33	9.704977989196777	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	12.443260427556982	0.0	0.0	0.8021149166835395	0.0	0.0	0.8005329339842676	0.0	0.0	0.8976737824207762	0.0	0.0	5.59360403980849	0.0	0.0	0.8797181327929436	0.0	0.0	0.8796908813297208	0.0	0.0	0.9413583988417027	0.0	0.0
2020-06-26 11:02:28	8.770221948623657	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	352	7	5	1	12.443260427556982	0.0	0.0	0.8021149166835395	0.0	0.0	0.8005329339842676	0.0	0.0	0.8976737824207762	0.0	0.0	5.59360403980849	0.0	0.0	0.8797181327929436	0.0	0.0	0.8796908813297208	0.0	0.0	0.9413583988417027	0.0	0.0
2020-06-26 14:13:43	9.214328050613403	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	353	7	5	1	11.62044928338268	0.0	0.0	0.8068942919254198	0.0	0.0	0.8051820887676622	0.0	0.0	0.9003075948016751	0.0	0.0	8.855206942669708	0.0	0.0	0.873962739328114	0.0	0.0	0.8739616583874843	0.0	0.0	0.9374092212329119	0.0	0.0
2020-06-26 14:17:09	9.0350501537323	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	353	7	5	1	11.62044928338268	0.0	0.0	0.8068942919254198	0.0	0.0	0.8051820887676622	0.0	0.0	0.9003075948016751	0.0	0.0	8.855206942669708	0.0	0.0	0.873962739328114	0.0	0.0	0.8739616583874843	0.0	0.0	0.9374092212329119	0.0	0.0
2020-07-08 14:11:49	9.288939952850342	/Users/SLotreck/GitHub/yeast-interpretability/interpretation/auto-mpg.csv_RF		mpg	RF	353	7	5	1	11.62044928338268	0.0	0.0	0.8068942919254198	0.0	0.0	0.8051820887676622	0.0	0.0	0.9003075948016751	0.0	0.0	8.855206942669708	0.0	0.0	0.873962739328114	0.0	0.0	0.8739616583874843	0.0	0.0	0.9374092212329119	0.0	0.0
